Entity,Year,Buildings,Industry,Forestry,Other Fuel Combustion,Transport,Carbon dioxide Manufacturing and Construction,Fugitive Emissions from Energy Production,Electricity and Heat,Bunker Fuels
China,2010,416400000.0,639600000.0,-330029980.0,169360000.0,568780000.0,2844070100.0,4730000.0,3831980000.0,43470000.0
China,2011,440720000.0,708600000.0,-707970000.0,177540000.0,621890000.0,3004770000.0,4920000.0,4324110000.0,46970000.0
China,2012,457220000.0,714800000.0,-707970000.0,185940000.0,686130000.0,3042030000.0,3690000.0,4450730000.0,47180000.0
China,2013,476570020.0,748299970.0,-707979970.0,198480000.0,741090050.0,3068120000.0,3610000.0,4742950400.0,44670000.0
China,2014,486750000.0,778600000.0,-707979970.0,197220000.0,770349950.0,3094690000.0,3980000.0,4689450000.0,44620000.0
China,2015,514850000.0,722000000.0,-707979970.0,202030000.0,828460000.0,2994250000.0,3930000.0,4593759700.0,53190000.0
China,2016,523140000.0,743000000.0,-647909950.0,201800000.0,845360000.0,2845899800.0,3710000.0,4698000000.0,57070000.0
China,2017,530050000.0,758200000.0,-647909950.0,193310000.0,877820000.0,2691610000.0,2950000.0,5035330000.0,61540000.0
China,2018,492800000.0,786700000.0,-647909950.0,171990000.0,947659970.0,2783730000.0,3450000.0,5380940000.0,68630000.0
China,2019,457309980.0,826900030.0,-647850000.0,159050000.0,939620000.0,2785930000.0,3820000.0,5590200300.0,68820000.0
China,2020,454380000.0,858200000.0,-647850000.0,158390000.0,896130000.0,2887530000.0,5150000.0,5684900000.0,53900000.0
India,2010,92710000.0,86030000.0,3650000.0,68810000.0,192920000.0,398020000.0,1810000.0,819680000.0,13970000.0
India,2011,96720000.0,91310000.0,-66160004.0,52970000.0,209290000.0,443410020.0,2820000.0,860229950.0,14400000.0
India,2012,97450000.0,100200000.0,-66160004.0,65430000.0,221520000.0,431900000.0,3820000.0,989110000.0,13510000.0
India,2013,99590000.0,107800000.0,-66160004.0,59890000.0,226260000.0,469390000.0,3480000.0,1006040000.0,13860000.0
